786565,786560,786500,786000,780000,700000
345654,345650,345600,345000,340000,300000
234528,234520,234500,234000,230000,200000
968576,968570,968500,968000,960000,900000
305654,305650,305600,305000,300000,300000
355654,355650,355600,355000,350000,300000
232568,232560,232500,232000,230000,200000
599574,599570,599500,599000,590000,500000
530493,530490,530400,530000,530000,500000
358576,358570,358500,358000,350000,300000
394857,394850,394800,394000,390000,300000
786585,786580,786500,786000,780000,700000
239110,239110,239100,239000,230000,200000
647989,647980,647900,647000,640000,600000
607989,607980,607900,607000,600000,600000
407989,407980,407900,407000,400000,400000
809676,809670,809600,809000,800000,800000
994857,994850,994800,994000,990000,900000
584574,584570,584500,584000,580000,500000
234568,234560,234500,234000,230000,200000
202110,202110,202100,202000,200000,200000
694857,694850,694800,694000,690000,600000
540493,540490,540400,540000,540000,500000
784574,784570,784500,784000,780000,700000
768576,768570,768500,768000,760000,700000
726565,726560,726500,726000,720000,700000
879676,879670,879600,879000,870000,800000
829676,829670,829600,829000,820000,800000
